objectName_markerName,X,Y,Z,localX,localY,localZ
trichecker3_068,12.4,10.8,1.0,0.6,0.2,0.0
trichecker3_069,12.4,11.2,1.0,0.6,0.3,0.0
trichecker3_070,12.4,11.6,1.0,0.6,0.4,0.0
trichecker3_071,12.4,12.0,1.0,0.6,0.5,0.0
trichecker3_072,12.4,12.4,1.0,0.6,0.6,0.0
trichecker3_073,12.4,12.8,1.0,0.6,0.7,0.0
trichecker3_074,12.4,13.2,1.0,0.6,0.8,0.0
trichecker3_075,12.4,13.6,1.0,0.6,0.9,0.0
trichecker3_076,12.4,14.0,1.0,0.6,1.0,0.0
trichecker3_077,12.8,10.0,1.0,0.7,0.0,0.0
trichecker3_078,12.8,10.4,1.0,0.7,0.1,0.0
trichecker3_079,12.8,10.8,1.0,0.7,0.2,0.0
trichecker3_080,12.8,11.2,1.0,0.7,0.3,0.0
trichecker3_081,12.8,11.6,1.0,0.7,0.4,0.0
trichecker3_082,12.8,12.0,1.0,0.7,0.5,0.0
trichecker3_083,12.8,12.4,1.0,0.7,0.6,0.0
trichecker3_084,12.8,12.8,1.0,0.7,0.7,0.0
trichecker3_085,12.8,13.2,1.0,0.7,0.8,0.0
trichecker3_086,12.8,13.6,1.0,0.7,0.9,0.0
trichecker3_087,12.8,14.0,1.0,0.7,1.0,0.0
trichecker3_088,13.2,10.0,1.0,0.8,0.0,0.0
trichecker3_089,13.2,10.4,1.0,0.8,0.1,0.0
trichecker3_090,13.2,10.8,1.0,0.8,0.2,0.0
trichecker3_091,13.2,11.2,1.0,0.8,0.3,0.0
trichecker3_092,13.2,11.6,1.0,0.8,0.4,0.0
trichecker3_093,13.2,12.0,1.0,0.8,0.5,0.0
trichecker3_094,13.2,12.4,1.0,0.8,0.6,0.0
trichecker3_095,13.2,12.8,1.0,0.8,0.7,0.0
trichecker3_096,13.2,13.2,1.0,0.8,0.8,0.0
trichecker3_097,13.2,13.6,1.0,0.8,0.9,0.0
trichecker3_098,13.2,14.0,1.0,0.8,1.0,0.0
trichecker3_099,13.6,10.0,1.0,0.9,0.0,0.0
trichecker3_100,13.6,10.4,1.0,0.9,0.1,0.0
trichecker3_101,13.6,10.8,1.0,0.9,0.2,0.0
trichecker3_102,13.6,11.2,1.0,0.9,0.3,0.0
trichecker3_103,13.6,11.6,1.0,0.9,0.4,0.0
trichecker3_104,13.6,12.0,1.0,0.9,0.5,0.0
trichecker3_105,13.6,12.4,1.0,0.9,0.6,0.0
trichecker3_106,13.6,12.8,1.0,0.9,0.7,0.0
trichecker3_107,13.6,13.2,1.0,0.9,0.8,0.0
trichecker3_108,13.6,13.6,1.0,0.9,0.9,0.0
trichecker3_109,13.6,14.0,1.0,0.9,1.0,0.0
trichecker3_110,14.0,10.0,1.0,1.0,0.0,0.0
trichecker3_111,14.0,10.4,1.0,1.0,0.1,0.0
