objectName_markerName,X,Y,Z,localX,localY,localZ
dummy1_110,-12.0059364101,49.8429921313,1.10455500447,1.0,0.0,0.0
dummy1_111,-12.0216276325,49.5434032708,1.10400705491,1.0,0.1,0.0
dummy1_112,-12.0373188549,49.2438144104,1.10345910535,1.0,0.2,0.0
dummy1_113,-12.0530100773,48.94422555,1.10291115579,1.0,0.3,0.0
dummy1_114,-12.0687012996,48.6446366896,1.10236320623,1.0,0.4,0.0
dummy1_115,-12.084392522,48.3450478291,1.10181525667,1.0,0.5,0.0
dummy1_116,-12.1000837444,48.0454589687,1.10126730711,1.0,0.6,0.0
dummy1_117,-12.1157749668,47.7458701083,1.10071935755,1.0,0.7,0.0
dummy1_118,-12.1314661891,47.4462812479,1.10017140799,1.0,0.8,0.0
dummy1_119,-12.1471574115,47.1466923874,1.09962345843,1.0,0.9,0.0
dummy1_120,-12.1628486339,46.847103527,1.09907550887,1.0,1.0,0.0
noiseCube_000,0.0,0.0,0.0,0.0,0.0,0.0
noiseCube_001,100.0,100.0,0.0,10.0,10.0,0.0
noiseCube_002,100.0,-100.0,0.0,10.0,-10.0,0.0
noiseCube_003,-100.0,100.0,0.0,-10.0,10.0,0.0
noiseCube_004,-100.0,-100.0,0.0,-10.0,-10.0,0.0
noiseCube_005,100.0,100.0,-1.0,10.0,10.0,-1.0
noiseCube_006,100.0,-100.0,-1.0,10.0,-10.0,-1.0
noiseCube_007,-100.0,100.0,-1.0,-10.0,10.0,-1.0
noiseCube_008,-100.0,-100.0,-1.0,-10.0,-10.0,-1.0
